text,category_name,label
Structural truss member buckling calculation does not verify unbraced length,Calculation,8
HAZARDOUS AREA CLASSIFICATION BOUNDARY SYMBOL MISSING PER NFPA 497 STANDARD,Standards,4
MATERIAL CALLOUT FOR BASEPLATE SHOWS MILD STEEL: REVISE TO ASTM A572 GR 50 -MWR,Material,10
Transport limit: modular unit height 150 mm exceeds railway overpass clearance By: VSM,Feasibility,9
Coordinate HVAC supply register location with overhead cable tray run By: VSM,Coordination,5
DRAWING INDEX SHEET LIST DOES NOT MATCH ACTUAL SHEETS INCLUDED IN PACKAGE BY: BREKOL,Documentation,6
CLASH WITH CIVIL/STRUCTURAL: HVAC DUCT PENETRATES STRUCTURAL MOMENT FRAME BEAM -JJD,Coordination,5
Equipment transport feasibility: skid width exceeds maximum roadway shipping clearance -JJD,Feasibility,9
Isometric drawing view orientation misaligned with plan coordinates,Drafting,1
RIGGING AND LIFTING LUG PLACEMENT CAUSES CENTER OF GRAVITY TILT DURING ERECTION,Feasibility,9
Anchor bolt projection dimension from top of grout missing -RJY,Dimension,2
P&ID symbology does not conform to company drafting standard STD-001 -UCC,Standards,4
Overall height dimension missing from skid base frame to top of vessel nozzle,Dimension,2
Transport limit: modular unit height 150 mm exceeds railway overpass clearance By: BreKol,Feasibility,9
Coordinate instrument air supply line routing with control valve manifold -MWR,Coordination,5
Text justification misaligned in equipment table column By: VSM,Cosmetic,3
COORDINATE WITH ARCHITECTURAL TEAM: WALL PENETRATION SLEEVE LOCATION CONFLICTS WITH COLUMN,Coordination,5
DIMENSION STRING DOES NOT CLOSE: 3450 MM DISCREPANCY AT WALL INTERFACE,Dimension,2
INCORRECT NOTE: REFERENCE TO HYDROTEST PRESSURE IN NOTE 3 CONTRADICTS LINE SCHEDULE BY: VSM,Notes,11
Wrong valve body material: specify 316L stainless steel for acid injection line,Material,10
ADD GENERAL NOTE SPECIFYING CONCRETE MINIMUM 28-DAY COMPRESSIVE STRENGTH 4000 PSI,Notes,11
VERIFY STRUCTURAL CONNECTION CAPACITY: SHEAR TAB BOLT COUNT INSUFFICIENT -JDM,Technical,0
INCORRECT FLANGE RATING LISTED IN BILL OF MATERIALS TABLE FOR ITEM 12 -JDM,BOM,12
SHEET NUMBER INDICATES SHEET 2 OF 4 BUT TOTAL DRAWING SET HAS 5 SHEETS -JDM,Documentation,6
REINFORCING BAR REBAR GRADE MUST BE ASTM A615 GRADE 60 PER STRUCTURAL SPEC,Material,10
Cable voltage drop calculation exceeds 3% allowable limit for 480V feeder,Calculation,8
TRANSFORMER SIZING CALCULATION DOES NOT ACCOUNT FOR CONTINUOUS MOTOR STARTING KVA -JCM,Calculation,8
Wrong weld callout: replace fillet weld with full penetration CJP groove weld on moment connection,Technical,0
Part number wrong on C-100 bracket mounting assembly: shows BRG-902 instead of BRG-904 -BEK,Technical,0
DIMENSION STRING DOES NOT CLOSE: 150 MM DISCREPANCY AT WALL INTERFACE BY: VSM,Dimension,2
Fabrication feasibility: weld joint between thick plates cannot be reached with welding gun,Feasibility,9
Incorrect material specified: line requires Duplex 2205 instead of carbon steel for corrosive service,Material,10
Inconsistent capitalization in equipment callouts: use all uppercase,Cosmetic,3
Dimension extension line detached from reference feature on plan view,Dimension,2
CLASH WITH CIVIL/STRUCTURAL: HVAC DUCT PENETRATES STRUCTURAL MOMENT FRAME BEAM,Coordination,5
MISSING DASHED HIDDEN LINE REPRESENTING EQUIPMENT CLEARANCE ENVELOPE,Drafting,1
ASME code stamp requirement symbol missing from pressure vessel nameplate callout,Standards,4
Line overlap observed between dimension extension line and centerline on grid C-5 -JCM,Drafting,1
FOUNDATION PILE LOAD CAPACITY INCONSISTENT WITH GEOTECHNICAL SOIL REPORT CALCULATION,Calculation,8
ADD ENVIRONMENTAL NOTE REGARDING SECONDARY CONTAINMENT DIKE DRAINAGE VALVE OPERATION,Notes,11
Drawing cross-reference index table incomplete on cover sheet,Documentation,6
Structural beam material callout missing ASTM specification standard on drawing -JDM,Material,10
MATERIAL SPECIFICATION REQUIRED FOR CABLE TRAY: HOT-DIP GALVANIZED STEEL VS ALUMINUM -JDM,Material,10
ECN number missing on engineering change detail for valve manifold bracket,Technical,0
P&ID symbology does not conform to company drafting standard STD-001,Standards,4
Material specification required for cable tray: hot-dip galvanized steel vs aluminum,Material,10
Material specification required for cable tray: hot-dip galvanized steel vs aluminum By: VSM,Material,10
Reinforcing bar rebar grade must be ASTM A615 Grade 60 per structural spec By: BreKol,Material,10
Title block CAD layer locked with outdated contractor company name By: VSM,Documentation,6
ECN NUMBER MISSING ON ENGINEERING CHANGE DETAIL FOR VALVE MANIFOLD BRACKET -JJD,Technical,0
STANDARD COMPLIANCE: INSTRUMENTATION TAG FORMAT DOES NOT FOLLOW ISA-5.1 NAMING RULE -JCM,Standards,4
Isometric drawing view orientation misaligned with plan coordinates -RJY,Drafting,1
ARROWHEAD MISSING ON SECTION CUT CALLOUT MARKER,Drafting,1
Drafting error: dimension line cuts through equipment outline -JCM,Drafting,1
Seismic anchor load calculation inconsistent with baseplate anchor embedment depth,Calculation,8
Codal compliance issue: aisle clearance width below NFPA minimum 36 inches By: BreKol,Standards,4
Revision block shows Rev 0 date but drawing contains Rev 1 markups,Revision,7
STANDARD COMPLIANCE: INSTRUMENTATION TAG FORMAT DOES NOT FOLLOW ISA-5.1 NAMING RULE,Standards,4
System clash: cable ladder obstructs access to emergency shower station,Coordination,5
ERECTION FEASIBILITY ISSUE: COLUMN SPLICE LOCATION INACCESSIBLE FOR MOBILE CRANE HOOK -JCM,Feasibility,9
STANDARD ELECTRICAL GROUNDING SYMBOL MISSING AT TRANSFORMER NEUTRAL CONNECTION -JCM,Standards,4
Delta revision symbol missing on updated elevation callout -BEK,Revision,7
Incorrect tolerance specified on hole pattern for E-301 baseplate,Technical,0
Inconsistent capitalization in equipment callouts: use all uppercase,Cosmetic,3
Flange facing standard designation RF vs FF non-compliant with ASME B16.5 -RJY,Standards,4
ERECTION FEASIBILITY: PROVIDE TEMPORARY LIFTING LUGS FOR MODULAR FRAME TRANSPORT -BEK,Feasibility,9
UPDATE BILL OF MATERIALS BOM TO REFLECT LATEST REVISION OF PIPING COMPONENT SCHEDULE,BOM,12
GROUT MATERIAL CALLOUT MUST SPECIFY NON-SHRINK CEMENTITIOUS GROUT PER PROJECT STANDARD,Material,10
Note callout on sheet 1 contradicts note 6 on companion drawing E-54725-29-C0-26403,Notes,11
Revision cloud missing around modified nozzle connection at grid D-2 -JDM,Revision,7
Pipe span deflection calculation exceeds L/240 criteria under hydrostatic test load -JJD,Calculation,8
GENERAL NOTE 2 REFERENCES OBSOLETE SPECIFICATION DOCUMENT 01-SPEC-1998: UPDATE TO REV 2026 -JDM,Notes,11
Seismic anchor load calculation inconsistent with baseplate anchor embedment depth By: BreKol,Calculation,8
"WRONG WELD CALLOUT: REPLACE FILLET WELD WITH 3/8"" FILLET WELD WITH BACKING BAR ON MOMENT CONNECTION BY: BREKOL",Technical,0
Previous revision cloud Rev A must be removed before issuing Rev B By: BreKol,Revision,7
TYPO IN GENERAL NOTE: 'VALVUE' SHOULD READ 'VALVE',Cosmetic,3
Incorrect nozzle flange connection rating 150# on vessel TK-401 -JJD,Technical,0
UPDATE GENERAL NOTE 12 REGARDING TORQUE REQUIREMENTS FOR STRUCTURAL HIGH-STRENGTH BOLTS -BEK,Notes,11
HAZARDOUS AREA CLASSIFICATION BOUNDARY SYMBOL MISSING PER NFPA 497 STANDARD,Standards,4
SECTION CUT SYMBOL ON SHEET 1 POINTS IN WRONG VIEWING DIRECTION,Drafting,1
Wrong valve body material: specify 316L stainless steel for acid injection line -RJY,Material,10
Inter-discipline interference: structural diagonal bracing blocks instrument transmitter display,Coordination,5
Erection feasibility: provide temporary lifting lugs for modular frame transport -BEK,Feasibility,9
Revision description vague: replace 'Revisions' with detailed change description -JJD,Revision,7
Font size too small on valve tag callouts: increase to standard 2.5mm,Cosmetic,3
Accessibility issue: transmitter display not readable from operating floor,Feasibility,9
DESIGN CALCULATION INCONSISTENCY: VESSEL WALL THICKNESS CALCULATION REQUIRES 12MM NOT 10MM -JCM,Calculation,8
CHECK WELD SYMBOL PITCH AND STAGGERED SPACING ON STIFFENER PLATE,Technical,0
TRANSPORT LIMIT: MODULAR UNIT HEIGHT 500 MM EXCEEDS RAILWAY OVERPASS CLEARANCE,Feasibility,9
ISOMETRIC DRAWING VIEW ORIENTATION MISALIGNED WITH PLAN COORDINATES -JDM,Drafting,1
Missing break line symbol on truncated pipe spool run -RJY,Drafting,1
INCORRECT PIPE SCHEDULE 20 SPECIFIED FOR DESIGN PRESSURE 150 PSI,Technical,0
Engineer and checker approval signatures and dates missing in sign-off block,Documentation,6
Standard compliance: instrumentation tag format does not follow ISA-5.1 naming rule,Standards,4
COORDINATE WITH CIVIL LEAD: CONCRETE PAD SIZE INSUFFICIENT FOR NEW PUMP SKID FOOTPRINT,Coordination,5
GENERAL NOTE 2 REFERENCES OBSOLETE SPECIFICATION DOCUMENT 01-SPEC-1998: UPDATE TO REV 2026 -UCC,Notes,11
MACHINING FINISH SYMBOL RA 3.2 MISSING ON SHAFT SEAL LANDING -RJY,Technical,0
BOM item table missing unit weight and total weight column entries,BOM,12
Incorrect general note 4: field verification of existing foundation elevation is mandatory -RJY,Notes,11
Short circuit current rating calculation does not support specified breaker kAIC rating,Calculation,8
Flange bolting accessibility: clearance between flange and vessel wall too tight for torque wrench,Feasibility,9
Pipe insulation material specification missing on high temperature steam line -MWR,Material,10
Spare parts list in bill of materials does not include replacement gasket sets,BOM,12
Anchor bolt material must be hot-dip galvanized ASTM F1554 Grade 55,Material,10
Font height inconsistent between sheet title and drawing subtitle,Cosmetic,3
Flange material must match pipe material specification ASTM A105 for CS lines -MWR,Material,10
Drawing release status still marked 'DRAFT': update to 'APPROVED FOR CONSTRUCTION',Documentation,6
Spelling error in note 3: 'reciever' should be corrected to 'receiver',Cosmetic,3
Welding symbol not compliant with AWS A2.4 standard notation,Standards,4
Revision cloud missing around modified nozzle connection at grid G-7 -BEK,Revision,7
TEXT JUSTIFICATION MISALIGNED IN EQUIPMENT TABLE COLUMN,Cosmetic,3
Note callout on sheet 1 contradicts note 6 on companion drawing S-70086-01-101 By: BreKol,Notes,11
NOZZLE PROJECTION DIMENSION MISSING FROM VESSEL OUTER SHELL,Dimension,2
NOTE DISCREPANCY: NOTE STATES GALVANIZE ALL STEEL BUT DETAIL INDICATES PAINTED FINISH,Notes,11
